n_estimators,max_depth,min_samples_split,mean_test_score
,2,50,0.8395749959863975
,2,100,0.8427157493760673
,2,200,0.8434403870572267
,5,50,0.8436825897222586
,5,100,0.8446488462717282
,5,200,0.8453736299020681
,10,50,0.8435618897499891
,10,100,0.8433207087292205
,10,200,0.8441661193572398
10,2,50,0.8337759971977757
10,2,100,0.8363131777515068
10,2,200,0.8380045098296772
10,5,50,0.8378837368828174
10,5,100,0.8383669746194375
10,5,200,0.8377631828597283
10,10,50,0.8358307427353795
10,10,100,0.8375214180422377
10,10,200,0.8367968533356687
20,2,50,0.8407832362771283
20,2,100,0.8438034356437087
20,2,200,0.8439244275143395
20,5,50,0.8440448355882483
20,5,100,0.8460984865069981
20,5,200,0.8457362406410087
20,10,50,0.8413873929097889
20,10,100,0.8418709225447699
20,10,200,0.8441663382810105
30,2,50,0.8394542230395375
30,2,100,0.8423529197133558
30,2,200,0.8434403870572268
30,5,50,0.8427161872236087
30,5,100,0.8436825167476686
30,5,200,0.845736021717238
30,10,50,0.8439242085905688
30,10,100,0.8433207087292205
30,10,200,0.8441659734080593
